Changing h and fix dt
h,dt,rms of S,rms of I,times of S,times of I,order of S,order of I,seconds
0.25,0.0001,7.435442600333196e-05,0.00017846851262027854,0.0,0.0,-inf,-inf,1.7968649579997873
0.125,0.0001,2.532786944798132e-05,5.148677595200508e-05,2.9356762974494153,3.4662980798534218,1.5536928980821396,1.793395722540637,9.202264375000595
0.0625,0.0001,6.999750105716749e-06,1.3744631902742191e-05,3.6183962377879544,3.7459552439329387,1.8553504010467299,1.9053336625970476,46.111685457999556
0.03125,0.0001,1.8209944625981141e-06,3.547464655780955e-06,3.843916194961854,3.8744943886456804,1.9425768828257863,1.9540080547516179,252.21151695799927
0.015625,0.0001,4.608391964141109e-07,9.016376596039549e-07,3.951474780721051,3.9344681513626902,1.982391200565132,1.9761686300785142,1731.8825406659998
